geometry,code,obec,počet obyv.
"{""type"":""Polygon"",""coordinates"":[[[12.844844,50.357463],[12.829571,50.358958],[12.823023,50.362733],[12.812916,50.361577],[12.809835,50.367762],[12.815194,50.391723],[12.823552,50.3995],[12.834064,50.396486],[12.842971,50.401119],[12.850882,50.398904],[12.843877,50.386046],[12.830533,50.380714],[12.83516,50.368664],[12.850056,50.364511],[12.844844,50.357463]]]}",554979,Abertamy,939
"{""type"":""Polygon"",""coordinates"":[[[16.690068,49.308727],[16.690535,49.308283],[16.673703,49.306143],[16.670105,49.311102],[16.664584,49.298104],[16.673028,49.290695],[16.667303,49.284951],[16.648952,49.286768],[16.645982,49.291613],[16.65181,49.299263],[16.639864,49.306862],[16.643291,49.313952],[16.649649,49.305238],[16.690068,49.308727]]]}",581291,Adamov (BK),4 507
"{""type"":""Polygon"",""coordinates"":[[[14.535741,48.997985],[14.561098,49.012671],[14.564049,49.012336],[14.555481,49.000408],[14.557172,49.003399],[14.535741,48.997985]]]}",535826,Adamov (CB),963
"{""type"":""Polygon"",""coordinates"":[[[15.383267,49.853384],[15.386976,49.859246],[15.394371,49.855112],[15.409212,49.861936],[15.413425,49.85745],[15.412056,49.847756],[15.402843,49.851224],[15.40165,49.844107],[15.389339,49.843552],[15.383267,49.853384]]]}",531367,Adamov (KH),125
"{""type"":""Polygon"",""coordinates"":[[[16.056181,50.609741],[16.062501,50.631736],[16.067695,50.639795],[16.085502,50.64763],[16.096835,50.640983],[16.10529,50.641288],[16.108115,50.633234],[16.124264,50.625871],[16.146735,50.619581],[16.148369,50.607792],[16.131197,50.608025],[16.120943,50.602478],[16.107914,50.60386],[16.093354,50.611342],[16.083329,50.609683],[16.075358,50.6135],[16.065573,50.61108],[16.0641,50.602517],[16.07198,50.593817],[16.06119,50.592801],[16.056181,50.609741]]]}",547786,Adršpach,503
"{""type"":""Polygon"",""coordinates"":[[[18.494308,49.773363],[18.496936,49.776981],[18.494229,49.789535],[18.502251,49.793731],[18.510613,49.793767],[18.531103,49.800553],[18.559533,49.796494],[18.561078,49.780104],[18.550432,49.768965],[18.54038,49.767254],[18.514666,49.777035],[18.494308,49.773363]]]}",598925,Albrechtice (KI),3 842
"{""type"":""Polygon"",""coordinates"":[[[16.671691,49.900293],[16.673055,49.912039],[16.637213,49.915347],[16.643372,49.922967],[16.637519,49.929454],[16.634592,49.942507],[16.639073,49.944467],[16.669018,49.944927],[16.673819,49.927754],[16.68376,49.920838],[16.680003,49.913447],[16.683972,49.902365],[16.671691,49.900293]]]}",547981,Albrechtice (UO),455
"{""type"":""Polygon"",""coordinates"":[[[16.009379,50.134924],[16.009603,50.14608],[16.059197,50.144891],[16.064697,50.150508],[16.071584,50.145337],[16.067491,50.135634],[16.059492,50.132882],[16.044061,50.136897],[16.040935,50.13457],[16.009379,50.134924]]]}",576077,Albrechtice nad Orlicí,978
"{""type"":""Polygon"",""coordinates"":[[[14.342753,49.25599],[14.34324,49.253679],[14.351375,49.244827],[14.367652,49.238289],[14.365496,49.230532],[14.350981,49.232024],[14.344221,49.236849],[14.336765,49.233986],[14.316091,49.246778],[14.300707,49.245682],[14.292026,49.248063],[14.289708,49.25982],[14.291994,49.276395],[14.268451,49.280314],[14.266029,49.287632],[14.281279,49.287538],[14.297693,49.291996],[14.296395,49.295695],[14.270858,49.30057],[14.273478,49.307469],[14.281701,49.309387],[14.277528,49.314734],[14.281089,49.323001],[14.273748,49.330179],[14.28323,49.338123],[14.284104,49.339128],[14.300496,49.33461],[14.306888,49.318559],[14.327925,49.305473],[14.340351,49.285718],[14.334762,49.265682],[14.342753,49.25599]]]}",549258,Albrechtice nad Vltavou,918
"{""type"":""Polygon"",""coordinates"":[[[15.231898,50.826971],[15.244582,50.824628],[15.290646,50.810263],[15.289824,50.80138],[15.304277,50.794429],[15.310945,50.781252],[15.30769,50.771694],[15.317815,50.770194],[15.317424,50.764453],[15.296606,50.772848],[15.300124,50.756589],[15.270375,50.761406],[15.26122,50.767565],[15.258427,50.777229],[15.241384,50.789472],[15.241155,50.799391],[15.231898,50.826971]]]}",563528,Albrechtice v Jizerských horách,349
"{""type"":""Polygon"",""coordinates"":[[[18.113321,49.715989],[18.120015,49.705731],[18.115126,49.696108],[18.099394,49.691929],[18.094377,49.697281],[18.086313,49.692802],[18.09161,49.709008],[18.101823,49.709171],[18.113321,49.715989]]]}",568741,Albrechtičky,705
"{""type"":""Polygon"",""coordinates"":[[[17.047227,49.41474],[17.038386,49.411503],[17.032292,49.417007],[17.023926,49.416484],[17.025593,49.43044],[17.026385,49.43441],[17.055325,49.435184],[17.059924,49.429846],[17.050972,49.427108],[17.05222,49.418674],[17.047227,49.41474]]]}",506761,Alojzov,259
"{""type"":""Polygon"",""coordinates"":[[[17.338036,50.093764],[17.346679,50.10986],[17.356634,50.118826],[17.356548,50.110364],[17.371817,50.105457],[17.371714,50.101832],[17.384617,50.096499],[17.395205,50.081436],[17.402788,50.079316],[17.409098,50.084435],[17.410932,50.074505],[17.404761,50.066179],[17.395095,50.06347],[17.391865,50.056435],[17.379121,50.058521],[17.373071,50.07016],[17.361589,50.073171],[17.338036,50.093764]]]}",551929,Andělská Hora (BR),371
"{""type"":""Polygon"",""coordinates"":[[[12.941597,50.203025],[12.935274,50.211134],[12.944019,50.217258],[12.947983,50.221117],[12.962113,50.218888],[12.972961,50.223034],[12.979887,50.21946],[12.974644,50.214353],[12.972881,50.200796],[12.979337,50.197774],[12.960782,50.193202],[12.953611,50.18729],[12.940662,50.193151],[12.941597,50.203025]]]}",538001,Andělská Hora (KV),370
"{""type"":""Polygon"",""coordinates"":[[[16.537001,49.821454],[16.541657,49.83173],[16.534912,49.83939],[16.535589,49.845932],[16.528413,49.85356],[16.534602,49.862432],[16.541715,49.862536],[16.554408,49.85202],[16.559251,49.846762],[16.553257,49.837417],[16.567575,49.831208],[16.568161,49.819104],[16.544965,49.818622],[16.537001,49.821454]]]}",573426,Anenská Studánka,173
"{""type"":""Polygon"",""coordinates"":[[[17.021392,49.039724],[17.010264,49.037741],[16.998366,49.025028],[16.987372,49.022341],[16.982602,49.026773],[16.993598,49.030865],[16.983629,49.04304],[16.97352,49.066049],[16.977205,49.076662],[16.988346,49.085909],[17.003384,49.0826],[17.014237,49.071928],[17.003621,49.073233],[17.008951,49.067854],[17.006742,49.060829],[17.013109,49.043826],[17.021392,49.039724]]]}",586030,Archlebov,882
"{""type"":""Polygon"",""coordinates"":[[[15.127616,49.525141],[15.122975,49.529273],[15.120095,49.52137],[15.100056,49.534252],[15.101574,49.541922],[15.12582,49.542387],[15.139757,49.544863],[15.142963,49.526523],[15.13489,49.522324],[15.127616,49.525141]]]}",509388,Arneštovice,85
